iata_code,lat,lng
TIA,41.4219,19.71296
EVN,40.1525,44.40222
GRZ,46.99107,15.43963
INN,47.26022,11.34396
KLU,46.645,14.32667
LNZ,48.23322,14.18751
SZG,47.7933,13.00433
VIE,48.1221,16.55751
GYD,40.46075,50.05154
MSQ,53.88247,28.03073
ANR,51.18944,4.46028
BRU,50.90139,4.48444
CRL,50.4592,4.45382
LGG,50.63742,5.44322
OST,51.20013,2.87245
SJJ,43.82458,18.33147
TZL,44.45866,18.72478
BOJ,42.56958,27.51524
SOF,42.69519,23.40617
VAR,43.23207,27.82511
DBV,42.56135,18.26824
PUY,44.89353,13.92219
RJK,45.21689,14.57027
SPU,43.53894,16.29796
ZAD,44.10827,15.3467
ZAG,45.74056,16.06833
LCA,34.87512,33.62485
PFO,34.71804,32.48573
BRQ,49.15127,16.69443
PRG,50.10083,14.26
AAL,57.09279,9.84916
AAR,56.3023,10.62627
BLL,55.74032,9.15178
CPH,55.61792,12.65597
FAE,62.06565,-7.28055
TLL,59.41651,24.7994
HEL,60.31722,24.96333
KTT,67.70102,24.84685
OUL,64.93006,25.35456
RVN,66.56482,25.83041
TMP,61.41415,23.60439
TKU,60.51414,22.26281
VAA,63.05065,21.76217
AJA,41.92364,8.80292
BIA,42.55266,9.48373
EGC,44.82528,0.51861
BIQ,43.46842,-1.52333
BOD,44.82834,-0.71556
BES,48.44791,-4.41854
FSC,41.50056,9.09778
LIL,50.57037,3.10643
LYS,45.72639,5.09083
MRS,43.43556,5.21361
MPL,43.57762,3.9586
NTE,47.15319,-1.61072
NCE,43.66272,7.20787
BVA,49.45444,2.11278
CDG,49.01278,2.55
ORY,48.72528,2.35944
RNS,48.06951,-1.73479
RUN,-20.8871,55.51031
SXB,48.53832,7.62823
TLN,43.09734,6.14603
TLS,43.62908,1.36382
KUT,42.17889,42.48194
TBS,41.669167,44.954722
FMM,47.98751,10.23622
BER,52.36213,13.50168
BRE,53.0475,8.78667
CGN,50.87894,7.12292
DTM,51.51831,7.61224
DRS,51.13277,13.76716
DUS,51.28066,6.76715
FRA,50.0406,8.55603
HHN,49.94867,7.26389
FDH,47.66667,9.5
HAM,53.63039,9.98823
HAJ,52.45957,9.69269
FKB,48.77935,8.0805
LEJ,51.42126,12.22195
MUC,48.35378,11.78609
FMO,52.13464,7.68483
NUE,49.49575,11.07576
PAD,51.6081,8.61139
STR,48.69034,9.19521
NRN,51.6025,6.14222
PVK,38.92547,20.76531
ATH,37.93636,23.94447
CHQ,35.53175,24.14968
CFU,39.60194,19.91167
HER,35.33907,25.17513
EFL,38.12007,20.50048
KGS,36.79333,27.09167
MJT,39.05428,26.60279
JMK,37.43513,25.3481
RHO,36.40542,28.08619
SMI,37.69,26.91167
JTR,36.39917,25.47933
JSI,39.1771,23.50368
SKG,40.51973,22.97095
ZTH,37.75085,20.88425
BUD,47.43693,19.25559
DEB,47.48892,21.61533
KEF,63.985,-22.60556
