Airport,Country,IATA airport code,ICAO airport code,city
Tirana Airport,Albania,TIA,LATI,Tirana
Yerevan Zvartnots Airport,Armenia,EVN,UDYZ,Zvartnots
Graz Airport,Austria,GRZ,LOWG,Graz
Innsbruck Airport,Austria,INN,LOWI,Innsbruck
Klagenfurt Airport,Austria,KLU,LOWK,Klagenfurt
Linz Airport,Austria,LNZ,LOWL,Linz
Salzburg Airport,Austria,SZG,LOWS,Salzburg
Vienna Airport,Austria,VIE,LOWW,Vienna
Baku Airport,Azerbaijan,GYD,UBBB,Baku
Minsk Airport,Belarus,MSQ,UMMS,Minsk
Antwerp Airport,Belgium,ANR,EBAW,Antwerp
Brussels Airport,Belgium,BRU,EBBR,Brussels
Charleroi Airport,Belgium,CRL,EBCI,Charleroi
Liege Airport,Belgium,LGG,EBLG,Liege
Ostend Bruges Airport,Belgium,OST,EBOS,Ostend
Sarajevo Airport,Bosnia and Herzegovina,SJJ,LQSA,Sarajevo
Tuzla Airport,Bosnia and Herzegovina,TZL,LQTZ,Tuzla
Burgas Airport,Bulgaria,BOJ,LBBG,Burgas
Sofia Airport,Bulgaria,SOF,LBSF,Sofia
Varna Airport,Bulgaria,VAR,LBWN,Varna
Dubrovnik Airport,Croatia,DBV,LDDU,Dubrovnik
Pula Airport,Croatia,PUY,LDPL,Pula
Rijeka Krk Airport,Croatia,RJK,LDRI,Rijeka
Split Airport,Croatia,SPU,LDSP,Split
Zadar Airport,Croatia,ZAD,LDZD,Zadar
Zagreb Airport,Croatia,ZAG,LDZA,Zagreb
Larnaca Airport,Cyprus,LCA,LCLK,Larnaca
Paphos Airport,Cyprus,PFO,LCPH,Paphos
Brno Airport,Czech Republic,BRQ,LKTB,Brno
Prague Airport,Czech Republic,PRG,LKPR,Prague
Aalborg Airport,Denmark,AAL,EKYT,Aalborg
Aarhus Airport,Denmark,AAR,EKAH,Aarhus
Billund Airport,Denmark,BLL,EKBI,Billund
Copenhagen Airport,Denmark,CPH,EKCH,Copenhagen
Vágar Airport,Denmark,FAE,EKVG,Vágar
Tallinn Airport,Estonia,TLL,EETN,Tallinn
Helsinki Airport,Finland,HEL,EFHK,Helsinki
Kittilä Airport,Finland,KTT,EFKT,Kittilä
Oulu Airport,Finland,OUL,EFOU,Oulu
Rovaniemi Airport,Finland,RVN,EFRO,Rovaniemi
Tampere Airport,Finland,TMP,EFTP,Tampere
Turku Airport,Finland,TKU,EFTU,Turku
Vaasa Airport,Finland,VAA,EFVA,Vaasa
Ajaccio Airport,France,AJA,LFKJ,Ajaccio
Bastia Airport,France,BIA,LFKB,Bastia
Bergerac Airport,France,EGC,LFBE,Bergerac
Biarritz Airport,France,BIQ,LFBZ,Biarritz
Bordeaux Airport,France,BOD,LFBD,Bordeaux
Brest Bretagne Airport,France,BES,LFRB,Brest
Figari South Corsica Airport,France,FSC,LFKF,Figari
Lille Airport,France,LIL,LFQQ,Lille
Lyon-Saint Exupéry Airport,France,LYS,LFLL,Lyon-St
Marseille Airport,France,MRS,LFML,Marseille
Montpellier Airport,France,MPL,LFMT,Montpellier
Nantes Airport,France,NTE,LFRS,Nantes
Nice Airport,France,NCE,LFMN,Nice
Paris Beauvais Airport,France,BVA,LFOB,Paris
Paris Charles de Gaulle Airport,France,CDG,LFPG,Paris
Paris Orly Airport,France,ORY,LFPO,Paris
Rennes Bretagne Airport,France,RNS,LFRN,Rennes
Réunion Roland Garros Airport,France,RUN,FMEE,Réunion
Strasbourg Airport,France,SXB,LFST,Strasbourg
Toulon-Hyères Airport,France,TLN,LFTH,Toulonères
Toulouse Blagnac Airport,France,TLS,LFBO,Toulouse
Kutaisi Airport,Georgia,KUT,UGKO,Kutaisi
Tbilisi Airport,Georgia,TBS,UGTB,Tbilisi
Allgäu Airport Memmingen,Germany,FMM,EDJA,Memmingen
Berlin Brandenburg Airport,Germany,BER,EDDB,Berlin Brandenburg
Bremen Airport,Germany,BRE,EDDW,Bremen
