chronotrain_id,city,Airport,Country,IATA airport code,ICAO airport code
8302063.0,Tirana,Tirana Airport,Albania,TIA,LATI
,Zvartnots,Yerevan Zvartnots Airport,Armenia,EVN,UDYZ
2778067.0,Graz,Graz Airport,Austria,GRZ,LOWG
2775220.0,Innsbruck,Innsbruck Airport,Austria,INN,LOWI
2774326.0,Klagenfurt,Klagenfurt Airport,Austria,KLU,LOWK
2772400.0,Linz,Linz Airport,Austria,LNZ,LOWL
2766824.0,Salzburg,Salzburg Airport,Austria,SZG,LOWS
2761369.0,Vienna,Vienna Airport,Austria,VIE,LOWW
685948.0,Baku,Baku Airport,Azerbaijan,GYD,UBBB
5102293.0,Minsk,Minsk Airport,Belarus,MSQ,UMMS
2803138.0,Antwerp,Antwerp Airport,Belgium,ANR,EBAW
2800866.0,Brussels,Brussels Airport,Belgium,BRU,EBBR
2800481.0,Charleroi,Charleroi Airport,Belgium,CRL,EBCI
2792413.0,Liege,Liege Airport,Belgium,LGG,EBLG
2789786.0,Ostend,Ostend Bruges Airport,Belgium,OST,EBOS
,Sarajevo,Sarajevo Airport,Bosnia and Herzegovina,SJJ,LQSA
5381107.0,Tuzla,Tuzla Airport,Bosnia and Herzegovina,TZL,LQTZ
2960316.0,Burgas,Burgas Airport,Bulgaria,BOJ,LBBG
727011.0,Sofia,Sofia Airport,Bulgaria,SOF,LBSF
726050.0,Varna,Varna Airport,Bulgaria,VAR,LBWN
,Dubrovnik,Dubrovnik Airport,Croatia,DBV,LDDU
2644210.0,Pula,Pula Airport,Croatia,PUY,LDPL
3191648.0,Rijeka,Rijeka Krk Airport,Croatia,RJK,LDRI
3190261.0,Split,Split Airport,Croatia,SPU,LDSP
,Zadar,Zadar Airport,Croatia,ZAD,LDZD
3186886.0,Zagreb,Zagreb Airport,Croatia,ZAG,LDZA
,Larnaca,Larnaca Airport,Cyprus,LCA,LCLK
,Paphos,Paphos Airport,Cyprus,PFO,LCPH
3078610.0,Brno,Brno Airport,Czech Republic,BRQ,LKTB
3067696.0,Prague,Prague Airport,Czech Republic,PRG,LKPR
2624886.0,Aalborg,Aalborg Airport,Denmark,AAL,EKYT
2624652.0,Aarhus,Aarhus Airport,Denmark,AAR,EKAH
,Billund,Billund Airport,Denmark,BLL,EKBI
2618425.0,Copenhagen,Copenhagen Airport,Denmark,CPH,EKCH
,Vágar,Vágar Airport,Denmark,FAE,EKVG
,Tallinn,Tallinn Airport,Estonia,TLL,EETN
658225.0,Helsinki,Helsinki Airport,Finland,HEL,EFHK
,Kittilä,Kittilä Airport,Finland,KTT,EFKT
643492.0,Oulu,Oulu Airport,Finland,OUL,EFOU
638936.0,Rovaniemi,Rovaniemi Airport,Finland,RVN,EFRO
634963.0,Tampere,Tampere Airport,Finland,TMP,EFTP
633679.0,Turku,Turku Airport,Finland,TKU,EFTU
632978.0,Vaasa,Vaasa Airport,Finland,VAA,EFVA
,Ajaccio,Ajaccio Airport,France,AJA,LFKJ
3110044.0,Bastia,Bastia Airport,France,BIA,LFKB
8702816.0,Bergerac,Bergerac Airport,France,EGC,LFBE
8700114.0,Biarritz,Biarritz Airport,France,BIQ,LFBZ
