city,lat,lng
Tirana,41.3275459,19.8186982
Zvartnots,40.16527019999999,44.3427833
Graz,47.070714,15.439504
Innsbruck,47.2692124,11.4041024
Klagenfurt,46.6364598,14.3122246
Linz,48.30694,14.28583
Salzburg,47.80949,13.05501
Vienna,48.2081664,16.3718643
Baku,40.40926169999999,49.8670924
Minsk,53.9006011,27.558972
Antwerp,51.2213404,4.4051485
Brussels,50.8476424,4.3571696
Charleroi,50.4096349,4.44601
Liege,50.63295859999999,5.569749799999999
Ostend,51.2246631,2.9091818
Sarajevo,43.8562586,18.4130763
Tuzla,40.8982305,29.3598782
Burgas,42.50479259999999,27.4626361
Sofia,42.6977082,23.3218675
Varna,43.2140504,27.9147333
Dubrovnik,42.65066059999999,18.0944238
Pula,44.8666232,13.8495788
Rijeka,45.3270631,14.442176
Split,,14.442176
Zadar,44.119371,15.2313648
Zagreb,45.8150108,15.981919
Larnaca,34.9182222,33.6200625
Paphos,34.77539489999999,32.4217786
Brno,49.1950602,16.6068371
Prague,50.0755381,14.4378005
Aalborg,57.0488195,9.921747
Aarhus,56.162939,10.203921
Billund,55.728449,9.112366000000002
Copenhagen,55.6760968,12.5683371
Vágar,62.09820089999999,-7.2145002
Tallinn,59.43696079999999,24.7535746
Helsinki,60.16985569999999,24.938379
Kittilä,67.6507324,24.9158197
Oulu,65.0120888,25.4650773
Rovaniemi,66.50394779999999,25.7293905
Tampere,61.4977524,23.7609535
Turku,60.4518126,22.2666303
Vaasa,63.09508899999999,21.6164564
Ajaccio,41.919229,8.738635
Bastia,42.697283,9.450880999999999
Bergerac,44.853806,0.483392
Biarritz,43.4831519,-1.558626
Bordeaux,44.837789,-0.57918
Brest,48.3907119,-4.4869723
Figari,41.48734,9.130112
Lille,50.62925,3.057256
Lyon-St,37.786801,-122.4452848
Marseille,43.296482,5.36978
Montpellier,43.610769,3.876716
Nantes,47.218371,-1.553621
Nice,43.7101728,7.261953200000001
Paris,48.856614,2.3522219
Rennes,48.117266,-1.6777926
Réunion,-21.115141,55.536384
Strasbourg,48.5734053,7.752111299999999
Toulonères,,7.752111299999999
Toulouse,43.604652,1.444209
Kutaisi,42.2718354,42.7060404
Tbilisi,41.6938026,44.80151679999999
Memmingen,47.9837999,10.1801883
Berlin Brandenburg,52.52000659999999,13.404954
Bremen,53.07929619999999,8.8016937
Cologne,50.937531,6.9602786
Dortmund,51.5135872,7.465298100000001
Dresden,51.0504088,13.7372621
Düsseldorf,51.2277411,6.7734556
Frankfurt,50.1109221,8.6821267
Friedrichshafen,47.65673289999999,9.4649538
Hamburg,53.5488282,9.987170299999999
Hanover,52.3758916,9.732010400000002
Karlsruhe,49.0068901,8.4036527
Leipzig,51.3396955,12.3730747
Munich,48.1351253,11.5819806
Münsterück,,11.5819806
Nuremberg,49.4521018,11.0766654
Paderborn,51.7189205,8.757509299999999
Stuttgart,48.7758459,9.1829321
Weeze,51.6266679,6.1968442
Aktion,,6.1968442
Athens,37.9838096,23.7275388
Chania,35.5138298,24.0180367
Corfu,39.6242621,19.9216777
Heraklion,35.3387352,25.1442126
Kefalonia,38.1753675,20.5692179
Kos,36.8915064,27.2877228
Lesvos,39.2645095,26.2777073
Mykonos,37.4414601,25.3667218
Rhodes,36.4340533,28.2176379
Samos,37.7547857,26.9777701
Santorini,36.3931562,25.4615092
Skiathos,39.16352,23.4901667
Thessaloniki,40.6400629,22.9444191
Zante,37.7870331,20.8998759
Budapest,47.497912,19.040235
Debrecen,47.5288879,21.6254485
Keflavik,63.9997549,-22.5582716
Cork,51.8985143,-8.4756035
Dublin,53.3498053,-6.2603097
Knock,,-6.2603097
Kerry,,-6.2603097
Shannon,52.71178219999999,-8.8783365
Alghero,40.5579517,8.319294900000001
Ancona,43.6158299,13.518915
Bari,41.1171432,16.8718715
Bergamo,45.6982642,9.6772698
Bologna,44.494887,11.3426163
Brindisi,40.6327278,17.9417616
Cagliari,39.2238411,9.1216613
Catania,37.5078772,15.0830304
Comiso,36.9361931,14.577181
Florence,43.7695604,11.2558136
Genoa,44.4056499,8.946256
Lamezia Terme,38.962912,16.3092719
Milan,45.4642035,9.189982
Naples,26.1420358,-81.7948103
Olbia,40.92357639999999,9.4964429
Palermo,38.11569,13.3614868
Perugia,43.1107168,12.3908279
Pescara,42.4617902,14.2160898
Pisa,43.7228386,10.4016888
Rome,41.9027835,12.4963655
Trapani,38.0173505,12.5365171
Treviso,45.6668893,12.2430437
Trieste,45.6495264,13.7768182
Turin,45.0703393,7.686864
Venice,45.4408474,12.3155151
Verona,45.43838419999999,10.9916215
Almaty,43.2379761,76.8828618
Astana,51.1655126,71.4272222
Pristina,42.6629138,21.1655028
Riga,56.9676941,24.1056221
Kaunas,54.8985207,23.9035965
Vilnius,54.6871555,25.2796514
Luxembourg,49.815273,6.129582999999999
Malta,35.937496,14.375416
Chisinau,47.0104529,28.8638103
Podgorica,42.4304196,19.2593642
Tivat,42.4319094,18.6986213
Amsterdam,52.3675734,4.9041389
Eindhoven,51.42314229999999,5.462289699999999
Groningen,53.2193835,6.566501799999999
Maastricht,50.8513682,5.6909725
Rotterdam,51.9244201,4.4777325
Skopje,41.9981294,21.4254355
Ålesund,62.47222840000001,6.149482
Bergen,60.39126279999999,5.3220544
Bodø,67.2803556,14.404916
Haugesund,59.41358100000001,5.267986899999999
Kristiansand,58.15991189999999,8.0182064
Oslo,59.9138688,10.7522454
Sandefjord,59.1313095,10.2165948
Stavanger,58.9699756,5.7331073
Tromsø,69.6492047,18.9553238
Trondheim,63.4305149,10.3950528
Gdansk,54.35202520000001,18.6466384
Katowice,50.26489189999999,19.0237815
Kraków,50.06465009999999,19.9449799
Poznan,52.406374,16.9251681
Szczecin-Goleniów,53.56382,14.82843
Warsaw,52.2296756,21.0122287
Wroclaw,51.1078852,17.0385376
Faro,37.0193548,-7.9304397
Lisbon,38.7222524,-9.1393366
Madeira,32.76070740000001,-16.9594723
Ponta Delgada,37.7394207,-25.6686725
Porto,41.1579438,-8.629105299999999
Bucharest,44.4267674,26.1025384
Cluj-Napoca,46.7712101,23.6236353
Iasi,47.1584549,27.6014418
Sibiu,45.80347889999999,24.1449997
Timisoara,45.7488716,21.2086793
Krasnodar,45.036035,38.97457060000001
Moscow,55.755826,37.6173
Saint Petersburg,59.9310584,30.3609097
Sochi,43.60280789999999,39.7341543
Belgrade,44.8125449,20.46123
Niš,43.320926,21.8954069
Bratislava,48.1485965,17.1077477
Košice,48.7163857,21.2610746
Ljubljana,46.0569465,14.5057515
Alicante,38.3459963,-0.4906855
Almeria,36.834047,-2.4637136
Asturias,43.3613953,-5.8593267
Barcelona,41.3873974,2.168568
Bilbao,43.2630126,-2.9349852
Fuerteventura,28.3587436,-14.053676
Girona,41.9794005,2.8214264
Gran Canaria,27.9202202,-15.5474373
Granadaén,,-15.5474373
Ibiza,39.0200099,1.4821482
Jerez,36.6850064,-6.126074399999999
La Palma,28.7133828,-17.9057813
Lanzarote,29.0468535,-13.5899733
Madrid,40.4167754,-3.7037902
Malaga,36.721261,-4.4212655
Menorca,39.9496287,4.1104449
Palma de Mallorca,39.5696005,2.6501603
