Airport,Country,icao_code,city,iata_code,lat,lng
Tirana Airport,Albania,LATI,Tirana,TIA,41.4219,19.71296
Yerevan Zvartnots Airport,Armenia,UDYZ,Zvartnots,EVN,40.1525,44.40222
Graz Airport,Austria,LOWG,Graz,GRZ,46.99107,15.43963
Innsbruck Airport,Austria,LOWI,Innsbruck,INN,47.26022,11.34396
Klagenfurt Airport,Austria,LOWK,Klagenfurt,KLU,46.645,14.32667
Linz Airport,Austria,LOWL,Linz,LNZ,48.23322,14.18751
Salzburg Airport,Austria,LOWS,Salzburg,SZG,47.7933,13.00433
Vienna Airport,Austria,LOWW,Vienna,VIE,48.1221,16.55751
Baku Airport,Azerbaijan,UBBB,Baku,GYD,40.46075,50.05154
Minsk Airport,Belarus,UMMS,Minsk,MSQ,53.88247,28.03073
Antwerp Airport,Belgium,EBAW,Antwerp,ANR,51.18944,4.46028
Brussels Airport,Belgium,EBBR,Brussels,BRU,50.90139,4.48444
Charleroi Airport,Belgium,EBCI,Charleroi,CRL,50.4592,4.45382
Liege Airport,Belgium,EBLG,Liege,LGG,50.63742,5.44322
Ostend Bruges Airport,Belgium,EBOS,Ostend,OST,51.20013,2.87245
Sarajevo Airport,Bosnia and Herzegovina,LQSA,Sarajevo,SJJ,43.82458,18.33147
Tuzla Airport,Bosnia and Herzegovina,LQTZ,Tuzla,TZL,44.45866,18.72478
Burgas Airport,Bulgaria,LBBG,Burgas,BOJ,42.56958,27.51524
Sofia Airport,Bulgaria,LBSF,Sofia,SOF,42.69519,23.40617
Varna Airport,Bulgaria,LBWN,Varna,VAR,43.23207,27.82511
Dubrovnik Airport,Croatia,LDDU,Dubrovnik,DBV,42.56135,18.26824
Pula Airport,Croatia,LDPL,Pula,PUY,44.89353,13.92219
Rijeka Krk Airport,Croatia,LDRI,Rijeka,RJK,45.21689,14.57027
Split Airport,Croatia,LDSP,Split,SPU,43.53894,16.29796
Zadar Airport,Croatia,LDZD,Zadar,ZAD,44.10827,15.3467
Zagreb Airport,Croatia,LDZA,Zagreb,ZAG,45.74056,16.06833
Larnaca Airport,Cyprus,LCLK,Larnaca,LCA,34.87512,33.62485
Paphos Airport,Cyprus,LCPH,Paphos,PFO,34.71804,32.48573
Brno Airport,Czech Republic,LKTB,Brno,BRQ,49.15127,16.69443
Prague Airport,Czech Republic,LKPR,Prague,PRG,50.10083,14.26
Aalborg Airport,Denmark,EKYT,Aalborg,AAL,57.09279,9.84916
Aarhus Airport,Denmark,EKAH,Aarhus,AAR,56.3023,10.62627
Billund Airport,Denmark,EKBI,Billund,BLL,55.74032,9.15178
Copenhagen Airport,Denmark,EKCH,Copenhagen,CPH,55.61792,12.65597
Vágar Airport,Denmark,EKVG,Vágar,FAE,62.06565,-7.28055
Tallinn Airport,Estonia,EETN,Tallinn,TLL,59.41651,24.7994
Helsinki Airport,Finland,EFHK,Helsinki,HEL,60.31722,24.96333
Kittilä Airport,Finland,EFKT,Kittilä,KTT,67.70102,24.84685
Oulu Airport,Finland,EFOU,Oulu,OUL,64.93006,25.35456
Rovaniemi Airport,Finland,EFRO,Rovaniemi,RVN,66.56482,25.83041
Tampere Airport,Finland,EFTP,Tampere,TMP,61.41415,23.60439
Turku Airport,Finland,EFTU,Turku,TKU,60.51414,22.26281
Vaasa Airport,Finland,EFVA,Vaasa,VAA,63.05065,21.76217
Ajaccio Airport,France,LFKJ,Ajaccio,AJA,41.92364,8.80292
Bastia Airport,France,LFKB,Bastia,BIA,42.55266,9.48373
Bergerac Airport,France,LFBE,Bergerac,EGC,44.82528,0.51861
Biarritz Airport,France,LFBZ,Biarritz,BIQ,43.46842,-1.52333
Bordeaux Airport,France,LFBD,Bordeaux,BOD,44.82834,-0.71556
Brest Bretagne Airport,France,LFRB,Brest,BES,48.44791,-4.41854
Figari South Corsica Airport,France,LFKF,Figari,FSC,41.50056,9.09778
