,Airport,Country,icao_code,city,iata_code,airport_lat,airport_lng,iso_country_code,chronotrain_id,train_station_lat,train_station_lng,city_lat,city_lng,place_id,airport_duration,station_duration
1,Graz Airport,Austria,LOWG,Graz,GRZ,46.99107,15.43963,AUT,2778067.0,47.06667,15.45,47.070714,15.439504,ChIJu2UwF4c1bkcRm93f0tGKjv4,19.6,5.583333333333333
2,Innsbruck Airport,Austria,LOWI,Innsbruck,INN,47.26022,11.34396,AUT,2775220.0,47.26266,11.39454,47.2692124,11.4041024,ChIJc8r44c9unUcRDZsdKH0cIJ0,13.4,6.216666666666667
3,Klagenfurt Airport,Austria,LOWK,Klagenfurt,KLU,46.645,14.32667,AUT,2774326.0,46.62472,14.30528,46.6364598,14.3122246,ChIJZX6PMEVzcEcRK41hjN-2fmg,5.616666666666666,4.8
4,Linz Airport,Austria,LOWL,Linz,LNZ,48.23322,14.18751,AUT,2772400.0,48.30639,14.28611,48.30694,14.28583,ChIJTYWZ-pWVc0cRxHV5VywpU3w,24.616666666666667,0.3166666666666666
5,Salzburg Airport,Austria,LOWS,Salzburg,SZG,47.7933,13.00433,AUT,2766824.0,47.79941,13.04399,47.80949,13.05501,ChIJsdQIqd2adkcRPfcqQaGD4cE,17.116666666666667,8.433333333333334
6,Vienna Airport,Austria,LOWW,Vienna,VIE,48.1221,16.55751,AUT,2761369.0,48.20849,16.37208,48.2081664,16.3718643,ChIJn8o2UZ4HbUcRRluiUYrlwv0,24.23333333333333,0.0
9,Antwerp Airport,Belgium,EBAW,Antwerp,ANR,51.18944,4.46028,BEL,2803138.0,51.22047,4.40026,51.2213404,4.4051485,ChIJfYjDv472w0cRuIqogoRErz4,22.683333333333334,4.25
10,Brussels Airport,Belgium,EBBR,Brussels,BRU,50.90139,4.48444,BEL,2800866.0,50.85045,4.34878,50.8476424,4.3571696,ChIJZ2jHc-2kw0cRpwJzeGY6i8E,23.35,14.3
11,Charleroi Airport,Belgium,EBCI,Charleroi,CRL,50.4592,4.45382,BEL,2800481.0,50.41136,4.44448,50.4096349,4.44601,ChIJyTnKlvAlwkcREGRNL6uZAAQ,8.433333333333334,2.6166666666666667
12,Liege Airport,Belgium,EBLG,Liege,LGG,50.63742,5.44322,BEL,2792413.0,50.63373,5.56749,50.6329586,5.5697498,ChIJ-_ysjkv3wEcRQGtNL6uZAAQ,12.316666666666666,1.8333333333333333
13,Ostend Bruges Airport,Belgium,EBOS,Ostend,OST,51.20013,2.87245,BEL,2789786.0,51.21551,2.927,51.2246631,2.9091818,ChIJlaWVGNOo3EcRQpiDCfDblz4,15.016666666666667,4.416666666666667
15,Sofia Airport,Bulgaria,LBSF,Sofia,SOF,42.69519,23.40617,BGR,727011.0,42.69751,23.32415,42.6977082,23.3218675,ChIJ9Xsxy4KGqkARYF6_aRKgAAQ,15.95,7.95
16,Varna Airport,Bulgaria,LBWN,Varna,VAR,43.23207,27.82511,BGR,726050.0,43.21667,27.91667,43.2140504,27.9147333,ChIJodfzqotTpEARfIulcRyUJ1c,14.816666666666666,2.9833333333333334
18,Rijeka Krk Airport,Croatia,LDRI,Rijeka,RJK,45.21689,14.57027,HRV,3191648.0,45.32673,14.44241,45.3270631,14.442176,ChIJLb6qFyWhZEcRcLbLPThvPDc,27.0,0.0
20,Zagreb Airport,Croatia,LDZA,Zagreb,ZAG,45.74056,16.06833,HRV,3186886.0,45.81444,15.97798,45.8150108,15.981919,ChIJOcwCyZLWZUcRisL7KJYkRTo,26.4,2.6333333333333333
21,Brno Airport,Czech Republic,LKTB,Brno,BRQ,49.15127,16.69443,CZE,3078610.0,49.19522,16.60796,49.1950602,16.6068371,ChIJEVE_wDqUEkcRsLEUZg-vAAQ,20.716666666666665,10.183333333333334
22,Prague Airport,Czech Republic,LKPR,Prague,PRG,50.10083,14.26,CZE,3067696.0,50.08804,14.42076,50.0755381,14.4378005,ChIJi3lwCZyTC0cRkEAWZg-vAAQ,31.716666666666665,13.083333333333334
23,Aalborg Airport,Denmark,EKYT,Aalborg,AAL,57.09279,9.84916,DNK,2624886.0,57.048,9.9187,57.0488195,9.921747,ChIJDT3fX7IzSUYRwybsLmq0sU4,15.733333333333333,4.783333333333333
24,Aarhus Airport,Denmark,EKAH,Aarhus,AAR,56.3023,10.62627,DNK,2624652.0,56.15674,10.21076,56.162939,10.203921,ChIJi3iXU7FMTEYRr6IukdnXTYw,36.81666666666667,6.9
25,Copenhagen Airport,Denmark,EKCH,Copenhagen,CPH,55.61792,12.65597,DNK,2618425.0,55.67594,12.56553,55.6760968,12.5683371,ChIJIz2AXDxTUkYRuGeU5t1-3QQ,26.666666666666668,3.783333333333333
26,Helsinki Airport,Finland,EFHK,Helsinki,HEL,60.31722,24.96333,FIN,658225.0,60.16952,24.93545,60.1698557,24.938379,ChIJkQYhlscLkkYRY_fiO4S9Ts0,29.0,0.7833333333333333
27,Oulu Airport,Finland,EFOU,Oulu,OUL,64.93006,25.35456,FIN,643492.0,65.01236,25.46816,65.0120888,25.4650773,ChIJwYUhwKgygEYRfekSKzItsIs,29.3,2.1333333333333333
28,Rovaniemi Airport,Finland,EFRO,Rovaniemi,RVN,66.56482,25.83041,FIN,638936.0,66.5,25.71667,66.5039478,25.7293905,ChIJUyV3dr1LK0QRxEGItK2IgBU,7.866666666666666,3.466666666666667
29,Tampere Airport,Finland,EFTP,Tampere,TMP,61.41415,23.60439,FIN,634963.0,61.49911,23.78712,61.4977524,23.7609535,ChIJXdqTRVXfjkYRwCILHr3j32o,24.3,9.516666666666667
30,Turku Airport,Finland,EFTU,Turku,TKU,60.51414,22.26281,FIN,633679.0,60.45148,22.26869,60.4518126,22.2666303,ChIJu9uOgYR1jEYRAMJLVVG1AAQ,17.083333333333332,3.8333333333333335
31,Vaasa Airport,Finland,EFVA,Vaasa,VAA,63.05065,21.76217,FIN,632978.0,63.096,21.61577,63.095089,21.6164564,ChIJQ7I6Yj5gfUYRDoCqYap_HR4,16.616666666666667,4.516666666666667
33,Bergerac Airport,France,LFBE,Bergerac,EGC,44.82528,0.51861,FRA,8702816.0,44.857386,0.488744,44.853806,0.483392,ChIJX_VIYHzQqhIRISJV_K10NNI,9.4,2.783333333333333
34,Biarritz Airport,France,LFBZ,Biarritz,BIQ,43.46842,-1.52333,FRA,8700114.0,43.459186,-1.546073,43.4831519,-1.558626,ChIJMx7zCisVUQ0RMKgTSBdlBgQ,10.25,9.483333333333333
35,Bordeaux Airport,France,LFBD,Bordeaux,BOD,44.82834,-0.71556,FRA,3031582.0,44.84044,-0.5805,44.837789,-0.57918,ChIJgcpR9-gnVQ0RiXo5ewOGY3k,28.383333333333333,3.933333333333333
36,Brest Bretagne Airport,France,LFRB,Brest,BES,48.44791,-4.41854,FRA,3030300.0,48.39029,-4.48628,48.3907119,-4.4869723,ChIJk1uS2eG7FkgRqzCcF1iDSMY,15.283333333333331,0.3
38,Lyon-Saint Exupéry Airport,France,LFLL,Lyon-St,LYS,45.72639,5.09083,FRA,8702384.0,45.720908,5.075822,45.76,4.84,ChIJURT_WMuAhYARD5c7NqPrekA,28.516666666666666,31.0
39,Marseille Airport,France,LFML,Marseille,MRS,43.43556,5.21361,FRA,2995469.0,43.29695,5.38107,43.296482,5.36978,ChIJM1PaREO_yRIRIAKX_aUZCAQ,26.683333333333334,9.983333333333333
40,Montpellier Airport,France,LFMT,Montpellier,MPL,43.57762,3.9586,FRA,2992166.0,43.61093,3.87635,43.610769,3.876716,ChIJsZ3dJQevthIRAuiUKHRWh60,23.73333333333333,0.4833333333333333
41,Nantes Airport,France,LFRS,Nantes,NTE,47.15319,-1.61072,FRA,2990969.0,47.21725,-1.55336,47.218371,-1.553621,ChIJra6o8IHuBUgRMO0NHlI3DQQ,23.28333333333333,1.45
42,Nice Airport,France,LFMN,Nice,NCE,43.66272,7.20787,FRA,2990440.0,43.70313,7.26608,43.7101728,7.2619532,ChIJMS2FahDQzRIRcJqX_aUZCAQ,16.55,6.65
43,Paris Beauvais Airport,France,LFOB,Paris,BVA,49.45444,2.11278,FRA,2988507.0,48.85341,2.3488,48.856614,2.3522219,ChIJD7fiBh9u5kcRYJSMaMOCCwQ,85.26666666666667,4.033333333333333
44,Paris Charles de Gaulle Airport,France,LFPG,Paris,CDG,49.01278,2.55,FRA,2988507.0,48.85341,2.3488,48.856614,2.3522219,ChIJD7fiBh9u5kcRYJSMaMOCCwQ,38.25,4.033333333333333
45,Paris Orly Airport,France,LFPO,Paris,ORY,48.72528,2.35944,FRA,2988507.0,48.85341,2.3488,48.856614,2.3522219,ChIJD7fiBh9u5kcRYJSMaMOCCwQ,27.15,4.033333333333333
46,Rennes Bretagne Airport,France,LFRN,Rennes,RNS,48.06951,-1.73479,FRA,2983990.0,48.11198,-1.67429,48.117266,-1.6777926,ChIJhZDWpy_eDkgRMKvkNs2lDAQ,21.316666666666663,5.716666666666667
47,Strasbourg Airport,France,LFST,Strasbourg,SXB,48.53832,7.62823,FRA,2973783.0,48.58392,7.74553,48.5734053,7.7521113,ChIJwbIYXknIlkcRHyTnGDFIGpc,23.416666666666668,13.566666666666666
48,Toulouse Blagnac Airport,France,LFBO,Toulouse,TLS,43.62908,1.36382,FRA,2972315.0,43.60426,1.44367,43.604652,1.444209,ChIJ_1J17G-7rhIRMBBBL5z2BgQ,21.683333333333334,3.2333333333333334
49,Allgäu Airport Memmingen,Germany,EDJA,Memmingen,FMM,47.98751,10.23622,DEU,8000249.0,47.985848,10.186954,47.9837999,10.1801883,ChIJP_ogz1fym0cR2CeWXchIgM8,13.016666666666667,3.6666666666666665
50,Berlin Brandenburg Airport,Germany,EDDB,Berlin Brandenburg,BER,52.36213,13.50168,DEU,8089044.0,52.516465,13.381693,52.4938053,13.4552919,ChIJt3mAQDdOqEcRcSlyLe0qgtg,24.53333333333333,20.816666666666663
51,Bremen Airport,Germany,EDDW,Bremen,BRE,53.0475,8.78667,DEU,2944388.0,53.07582,8.80717,53.0792962,8.8016937,ChIJNePuDBAosUcRUd83-VyI6MI,11.716666666666669,6.816666666666666
52,Cologne Bonn Airport,Germany,EDDK,Cologne,CGN,50.87894,7.12292,DEU,2886242.0,50.93333,6.95,50.937531,6.9602786,ChIJ5S-raZElv0cR8HcqSvxgJwQ,23.866666666666667,4.516666666666667
