city,lat,lng,place_id
Tirana,41.3275459,19.8186982,ChIJ28X6cAQxUBMRIDdlEK-SAAQ
Zvartnots,40.1652702,44.3427833,ChIJf_TBpBKVakARdMXUA5U_ZHg
Graz,47.070714,15.439504,ChIJu2UwF4c1bkcRm93f0tGKjv4
Innsbruck,47.2692124,11.4041024,ChIJc8r44c9unUcRDZsdKH0cIJ0
Klagenfurt,46.6364598,14.3122246,ChIJZX6PMEVzcEcRK41hjN-2fmg
Linz,48.30694,14.28583,ChIJTYWZ-pWVc0cRxHV5VywpU3w
Salzburg,47.80949,13.05501,ChIJsdQIqd2adkcRPfcqQaGD4cE
Vienna,48.2081664,16.3718643,ChIJn8o2UZ4HbUcRRluiUYrlwv0
Baku,40.4092617,49.8670924,ChIJ-Rwh1mt9MEARa2zlel5rPzQ
Minsk,53.9006011,27.558972,ChIJ02oeW9PP20YR2XC13VO4YQs
Antwerp,51.2213404,4.4051485,ChIJfYjDv472w0cRuIqogoRErz4
Brussels,50.8476424,4.3571696,ChIJZ2jHc-2kw0cRpwJzeGY6i8E
Charleroi,50.4096349,4.44601,ChIJyTnKlvAlwkcREGRNL6uZAAQ
Liege,50.6329586,5.5697498,ChIJ-_ysjkv3wEcRQGtNL6uZAAQ
Ostend,51.2246631,2.9091818,ChIJlaWVGNOo3EcRQpiDCfDblz4
Sarajevo,43.8562586,18.4130763,ChIJ0Ztx7bHLWEcRPrOH3qbNLlY
Tuzla,40.8982305,29.3598782,ChIJc0MXFqfZyhQRJAST8Rk09x0
Burgas,42.5047926,27.4626361,ChIJkZ38-WaSpkAR8E2_aRKgAAQ
Sofia,42.6977082,23.3218675,ChIJ9Xsxy4KGqkARYF6_aRKgAAQ
Varna,43.2140504,27.9147333,ChIJodfzqotTpEARfIulcRyUJ1c
Dubrovnik,42.6506606,18.0944238,ChIJfeg1CKKLSxMRANUrhlCtAAQ
Pula,44.8666232,13.8495788,ChIJbXszCd7SfEcRDVhOezpKMnI
Rijeka,45.3270631,14.442176,ChIJLb6qFyWhZEcRcLbLPThvPDc
Split,45.51,16.44,none
Zadar,44.119371,15.2313648,ChIJj7jA0mL6YUcRhAf0Exw-MhI
Zagreb,45.8150108,15.981919,ChIJOcwCyZLWZUcRisL7KJYkRTo
Larnaca,34.9182222,33.6200625,ChIJE8tAbKGC4BQRpdBxEyLwy08
Paphos,34.7753949,32.4217786,ChIJyeIt9GMG5xQR57X0UP_9BWw
Brno,49.1950602,16.6068371,ChIJEVE_wDqUEkcRsLEUZg-vAAQ
Prague,50.0755381,14.4378005,ChIJi3lwCZyTC0cRkEAWZg-vAAQ
Aalborg,57.0488195,9.921747,ChIJDT3fX7IzSUYRwybsLmq0sU4
Aarhus,56.162939,10.203921,ChIJi3iXU7FMTEYRr6IukdnXTYw
Billund,55.728449,9.112366,ChIJs0HiryNyS0YRMug7gHVzvok
Copenhagen,55.6760968,12.5683371,ChIJIz2AXDxTUkYRuGeU5t1-3QQ
Vágar,62.0982009,-7.2145002,ChIJlfRYdFybvkgRvN0A6Ng2oSI
Tallinn,59.4369608,24.7535746,ChIJvxZW35mUkkYRcGL8GG2zAAQ
Helsinki,60.1698557,24.938379,ChIJkQYhlscLkkYRY_fiO4S9Ts0
Kittilä,67.6507324,24.9158197,ChIJN_sY8Emp00URxUUKvIYXxLk
Oulu,65.0120888,25.4650773,ChIJwYUhwKgygEYRfekSKzItsIs
Rovaniemi,66.5039478,25.7293905,ChIJUyV3dr1LK0QRxEGItK2IgBU
Tampere,61.4977524,23.7609535,ChIJXdqTRVXfjkYRwCILHr3j32o
Turku,60.4518126,22.2666303,ChIJu9uOgYR1jEYRAMJLVVG1AAQ
Vaasa,63.095089,21.6164564,ChIJQ7I6Yj5gfUYRDoCqYap_HR4
Ajaccio,41.919229,8.738635,ChIJgyOd0rNp2hIRAF-V_aUZCAQ
Bastia,42.697283,9.450881,ChIJcQmbsAMk1xIRnSuKp1g51hA
Bergerac,44.853806,0.483392,ChIJX_VIYHzQqhIRISJV_K10NNI
Biarritz,43.4831519,-1.558626,ChIJMx7zCisVUQ0RMKgTSBdlBgQ
Bordeaux,44.837789,-0.57918,ChIJgcpR9-gnVQ0RiXo5ewOGY3k
Brest,48.3907119,-4.4869723,ChIJk1uS2eG7FkgRqzCcF1iDSMY
Figari,41.48734,9.130112,ChIJ9RqFKDvU2xIRg_sKE0jXiKk
Lille,50.62925,3.057256,ChIJEW4ls3nVwkcRYGNkgT7xCgQ
Lyon-St,37.786801,-122.4452848,ChIJURT_WMuAhYARD5c7NqPrekA
Marseille,43.296482,5.36978,ChIJM1PaREO_yRIRIAKX_aUZCAQ
Montpellier,43.610769,3.876716,ChIJsZ3dJQevthIRAuiUKHRWh60
Nantes,47.218371,-1.553621,ChIJra6o8IHuBUgRMO0NHlI3DQQ
Nice,43.7101728,7.2619532,ChIJMS2FahDQzRIRcJqX_aUZCAQ
Paris,48.856614,2.3522219,ChIJD7fiBh9u5kcRYJSMaMOCCwQ
Rennes,48.117266,-1.6777926,ChIJhZDWpy_eDkgRMKvkNs2lDAQ
Réunion,-21.115141,55.536384,ChIJO-S4EIF3eCER-erb7ImOf0o
Strasbourg,48.5734053,7.7521113,ChIJwbIYXknIlkcRHyTnGDFIGpc
Toulouse,43.604652,1.444209,ChIJ_1J17G-7rhIRMBBBL5z2BgQ
